campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,concurrency,round,slot,identity,request_id,submitted_us,started_us,completed_us,received_us,wait_us,service_us,turnaround_us,correct,contamination,fallback,isolation_ok,result_fingerprint,status
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,541,2,2,10,1,B,f8e99e809d23a8be,10953482,10953575,10953659,10954054,93,84,177,1,0,0,1,1601db8ad7ce6763,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,542,2,2,11,0,C,8f05a58b53621dd8,10954080,10954256,10954381,10954993,176,125,301,1,0,0,1,2ecbc7408e239267,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,543,2,2,11,1,D,a9eb88b88a0e907d,10954141,10954802,10954898,10955042,661,96,757,1,0,0,1,5dc588f34d091f85,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,544,2,2,12,0,A,b9f574f5a27ffadd,10955064,10955403,10955504,10955604,339,101,440,1,0,0,1,f6e5270ff9c81810,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,545,2,2,12,1,B,9f0f91c86bd38838,10955120,10955219,10955308,10955653,99,89,188,1,0,0,1,61263dc85d7b9036,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,546,2,2,13,0,C,a8eced3fa54976de,10955676,10955831,10955919,10956237,155,88,243,1,0,0,1,4446c0eef08dda98,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,547,2,2,13,1,D,cbfc9824847b987b,10955731,10956045,10956143,10956286,314,98,412,1,0,0,1,fbaf67697e14f025,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,548,2,2,14,0,A,d7f1a085c8aa2b5f,10956308,10956930,10957030,10957147,622,100,722,1,0,0,1,b63b942e5bab2bff,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,549,2,2,14,1,B,bd0bbd5891fdb8ba,10956364,10956462,10956549,10957199,98,87,185,1,0,0,1,48aa65f24659a6ed,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,550,2,2,15,0,C,cafdfcab9fb67edc,10957224,10957392,10957484,10958014,168,92,260,1,0,0,1,c1aaad12a5d764cc,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,551,2,2,15,1,D,ee0da7907ee8a079,10957282,10957610,10957904,10958062,328,294,622,1,0,0,1,eb0bc87986f8ebf8,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,553,2,4,0,0,A,edfa66fb2dfe5617,10988405,10989349,10989434,10989524,944,85,1029,1,0,0,1,73585173116dc963,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,554,2,4,0,1,B,d31483cdf751e372,10988478,10988725,10988833,10989572,247,108,355,1,0,0,1,94a9bc0abc78a791,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,555,2,4,0,2,C,a7db11316f9a12dd,10988531,10988938,10989025,10989619,407,87,494,1,0,0,1,18af595d896067d8,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,556,2,4,0,3,D,8cf52e0438eda038,10988583,10989153,10989241,10989666,570,88,658,1,0,0,1,b96387070e41fe5f,measured
