campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,scenario,index,probe,wakeup_latency_ticks,dispatch_tick,reason_flags,histogram_bucket,status,right_censored,censor_limit_ticks,serial_fragmented_line,serial_segment_index,serial_segment_count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,104,1,16,1,2,0,744,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,105,1,16,3,2,0,744,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,106,1,16,2,2,0,744,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,107,1,16,3,3,0,745,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,108,1,16,1,3,1,746,469,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,109,1,16,2,3,0,746,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,114,1,16,7,0,0,766,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,115,1,16,5,0,0,766,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,116,1,16,6,0,0,766,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,117,1,16,7,1,0,767,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,118,1,16,6,1,0,767,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,119,1,16,5,1,0,767,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,120,1,16,7,2,0,768,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,121,1,16,6,2,0,768,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,122,1,16,5,2,0,768,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,123,1,16,7,3,0,769,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,124,1,16,6,3,0,769,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,125,1,16,5,3,1,770,405,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,130,1,16,11,0,0,790,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,131,1,16,10,0,0,790,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,132,1,16,9,0,0,790,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,133,1,16,10,1,0,791,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,134,1,16,11,1,0,791,213,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,135,1,16,9,1,0,791,149,0,measured,0,200,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,136,1,16,10,2,0,792,149,0,measured,0,200,,,
