campaign_id,source_file,source_sha256,source_ordinal,line_number,histogram_scope,scenario,workflow_index,workflow_source,bucket_index,bucket_label,bucket_upper_ticks,count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,196,workflow,44,3,fresh,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,197,workflow,44,2,fresh,0,<=1,1,4
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,197,workflow,44,2,fresh,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,197,workflow,44,2,fresh,2,<=8,8,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,197,workflow,44,2,fresh,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,198,workflow,44,1,fresh,0,<=1,1,4
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,198,workflow,44,1,fresh,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,198,workflow,44,1,fresh,2,<=8,8,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,198,workflow,44,1,fresh,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,70,workflow,1,0,bootstrap,0,<=1,1,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,70,workflow,1,0,bootstrap,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,70,workflow,1,0,bootstrap,2,<=8,8,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,70,workflow,1,0,bootstrap,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,74,workflow,2,0,bootstrap,0,<=1,1,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,74,workflow,2,0,bootstrap,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,74,workflow,2,0,bootstrap,2,<=8,8,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,74,workflow,2,0,bootstrap,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,79,workflow,2,1,fresh,0,<=1,1,4
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,79,workflow,2,1,fresh,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,79,workflow,2,1,fresh,2,<=8,8,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,79,workflow,2,1,fresh,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,83,workflow,3,0,bootstrap,0,<=1,1,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,83,workflow,3,0,bootstrap,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-02.txt,b18579a24fa321b99b427db2bb8537ed2d663f4bb12b9d5b020387eb41f802b3,2,83,workflow,3,0,bootstrap,2,<=8,8,0
